CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected
6.52,8,4,3,9,1,1,7,Yes,Tier 1,1,6,9,6,3,4,1,0,Yes,Yes
5.4,2,2,2,5,6,4,3,Yes,Tier 2,4,7,9,1,5,3,6,1,Yes,No
7.01,2,5,1,3,1,9,6,No,Tier 1,4,1,1,7,9,8,6,5,Yes,Yes
5.87,10,1,3,1,10,4,3,No,Tier 3,5,6,5,1,4,5,7,1,Yes,Yes
8.47,10,5,2,8,1,2,4,Yes,Tier 2,0,9,10,3,4,7,3,2,Yes,Yes
6.73,8,1,2,6,2,2,1,No,Tier 3,5,4,1,3,1,9,5,5,No,Yes
9.88,6,4,2,5,3,10,2,Yes,Tier 2,3,4,6,6,10,9,3,0,Yes,No
8.2,4,3,1,7,2,9,1,Yes,Tier 1,2,4,7,2,2,9,7,3,Yes,Yes
9.11,3,0,0,5,8,4,10,Yes,Tier 2,1,4,5,1,1,4,2,5,Yes,Yes
5.66,1,4,2,4,6,1,2,No,Tier 2,0,9,2,4,3,9,2,0,No,No
9.31,3,0,2,5,1,1,4,Yes,Tier 3,0,4,9,10,2,7,9,0,Yes,Yes
9.61,9,2,2,7,6,1,6,Yes,Tier 2,4,6,8,3,4,9,3,5,Yes,Yes
7.44,5,1,1,6,1,8,8,No,Tier 2,5,7,1,2,3,7,6,1,Yes,Yes
8.03,6,2,3,10,9,1,10,Yes,Tier 2,5,3,8,7,3,5,7,0,No,No
8.82,5,3,1,10,3,5,9,Yes,Tier 2,2,6,1,5,8,10,5,0,Yes,No
5.87,1,3,2,9,1,9,10,No,Tier 1,0,8,5,5,3,5,3,4,Yes,No
7.51,10,5,0,10,1,4,7,Yes,Tier 3,3,1,10,5,5,7,1,4,Yes,Yes
6.99,1,4,2,2,2,9,4,No,Tier 3,0,8,7,7,8,4,4,3,Yes,No
5.73,4,5,3,7,6,5,7,Yes,Tier 2,4,5,6,10,5,6,9,0,Yes,Yes
6.84,3,3,0,1,1,9,1,No,Tier 1,0,8,2,4,7,8,7,5,Yes,No
5.34,8,3,0,8,7,2,10,No,Tier 3,4,6,3,1,10,1,4,2,No,Yes
5.13,7,5,1,4,4,8,6,No,Tier 2,0,4,6,4,5,3,7,0,Yes,Yes
5.68,7,2,1,8,7,7,1,No,Tier 2,3,4,3,3,10,3,4,4,Yes,Yes
9.82,8,0,3,8,4,7,8,Yes,Tier 3,1,0,1,1,8,5,5,1,Yes,Yes
7.75,10,1,1,4,4,3,4,Yes,Tier 2,1,2,2,8,5,2,6,3,Yes,No
9.83,7,3,3,4,4,10,8,Yes,Tier 3,0,5,9,6,2,10,8,5,Yes,Yes
7.16,10,5,0,5,10,2,8,Yes,Tier 3,2,1,3,10,9,2,3,3,Yes,No
6.56,2,3,0,7,10,10,2,No,Tier 2,5,5,3,7,6,5,6,5,Yes,Yes
7.53,4,2,0,6,8,1,6,Yes,Tier 1,1,4,5,2,4,3,6,1,No,Yes
7.2,6,1,3,1,2,1,10,No,Tier 2,0,0,1,7,5,1,2,0,No,No
5.53,3,2,1,6,8,7,4,No,Tier 3,1,2,1,10,10,6,10,5,No,Yes
8.2,3,0,1,3,10,9,3,No,Tier 1,4,0,1,7,8,4,2,3,Yes,No
6.08,6,2,1,9,1,1,9,Yes,Tier 2,0,6,4,2,3,7,1,0,No,Yes
8.1,1,1,2,3,7,10,10,No,Tier 1,0,6,9,10,3,7,3,2,No,Yes
8.25,1,1,0,9,7,4,9,No,Tier 3,1,0,5,2,7,9,5,1,Yes,Yes
5.76,5,3,0,5,6,2,2,Yes,Tier 2,3,7,8,10,1,4,5,0,Yes,Yes
5.31,1,0,2,10,4,8,5,Yes,Tier 2,5,6,3,1,9,2,2,2,Yes,Yes
8.9,10,4,0,8,5,9,10,No,Tier 2,0,2,10,3,9,9,1,5,Yes,No
7.3,8,3,0,9,1,3,10,No,Tier 1,0,1,4,7,2,10,10,4,No,Yes
5.29,2,5,2,9,2,3,7,Yes,Tier 3,3,8,5,2,4,5,2,2,Yes,No
9.97,6,2,0,7,10,7,9,No,Tier 2,3,6,2,7,9,9,8,5,Yes,Yes
5.29,10,2,1,10,7,9,8,Yes,Tier 1,3,5,3,3,4,7,4,2,Yes,Yes
8.48,10,1,2,1,2,7,10,No,Tier 1,5,4,1,5,8,6,6,3,Yes,Yes
9.92,5,5,0,8,8,7,4,Yes,Tier 1,2,4,7,1,3,2,6,0,No,Yes
6.2,10,1,1,7,7,2,3,Yes,Tier 2,2,2,6,3,4,3,10,2,Yes,Yes
5.71,4,5,3,4,10,1,1,No,Tier 2,5,4,2,9,1,4,6,0,Yes,Yes
5.61,1,1,0,6,8,2,1,Yes,Tier 1,3,7,9,4,4,4,9,3,No,Yes
6.52,3,4,2,10,4,6,9,Yes,Tier 2,2,1,3,10,6,7,3,3,No,Yes
5.51,4,4,1,2,1,10,4,Yes,Tier 2,3,2,3,6,10,8,9,2,No,Yes
8.46,2,3,3,4,7,8,8,Yes,Tier 3,4,2,1,4,7,7,10,1,Yes,Yes
5.31,2,4,3,8,1,8,4,Yes,Tier 2,5,5,10,4,6,6,6,4,No,Yes
7.55,2,5,0,4,7,6,6,Yes,Tier 2,4,0,7,4,4,10,2,4,Yes,Yes
9.98,1,1,3,10,9,2,4,Yes,Tier 1,0,4,1,3,8,6,9,0,Yes,Yes
9.07,10,5,2,4,5,9,2,No,Tier 2,5,8,8,6,7,2,2,2,Yes,Yes
8.08,2,3,3,4,2,10,1,Yes,Tier 1,0,0,2,6,1,8,3,5,Yes,Yes
6.53,6,3,0,10,1,4,8,No,Tier 2,3,5,3,7,1,1,9,5,Yes,No
8.12,3,0,3,9,8,5,6,No,Tier 2,3,6,9,1,9,10,6,0,No,Yes
7.64,10,4,0,2,4,1,1,No,Tier 1,2,0,10,2,9,8,10,1,No,Yes
7.13,5,2,3,7,8,9,5,No,Tier 1,0,5,8,10,9,8,7,5,Yes,Yes
5.65,1,2,1,3,2,10,3,No,Tier 3,2,3,6,8,8,9,10,0,No,Yes
9.43,8,0,0,4,3,1,2,Yes,Tier 1,1,3,7,9,9,5,3,4,No,Yes
7.25,4,1,2,1,3,7,3,No,Tier 2,3,5,1,4,1,5,3,3,No,Yes
5.97,9,0,2,3,4,9,2,Yes,Tier 3,0,9,1,5,2,6,6,2,No,Yes
6.84,4,1,3,2,9,3,10,Yes,Tier 2,0,9,2,8,9,9,4,3,No,Yes
7.07,2,4,1,10,9,2,2,Yes,Tier 2,2,7,10,10,4,8,5,1,Yes,Yes
9.14,3,4,3,7,5,10,1,No,Tier 2,4,2,6,4,10,2,3,4,No,No
8.67,5,3,3,6,7,8,3,Yes,Tier 2,3,6,7,10,5,5,6,3,Yes,Yes
8.85,10,3,1,1,9,4,3,No,Tier 2,3,9,2,2,1,4,7,1,No,No
5.06,6,3,0,8,1,1,4,Yes,Tier 1,3,3,3,8,2,4,5,0,Yes,Yes
7.08,7,3,2,9,2,8,3,No,Tier 1,4,2,2,8,2,1,3,5,No,No
7.41,4,2,1,1,6,6,8,No,Tier 1,5,2,2,8,5,10,6,3,No,Yes
5.1,7,3,3,5,3,6,4,No,Tier 3,3,5,1,7,5,7,10,5,Yes,No
6.3,10,3,0,7,7,4,10,No,Tier 2,4,9,1,7,9,5,1,0,Yes,Yes
8.8,3,3,3,2,5,6,1,Yes,Tier 1,4,7,8,9,5,10,8,5,Yes,Yes
5.69,7,1,0,6,10,2,2,Yes,Tier 2,2,0,10,2,10,9,6,2,Yes,Yes
7.68,4,5,2,8,8,6,7,Yes,Tier 1,3,3,2,1,8,1,3,0,Yes,Yes
6.08,8,3,2,8,1,2,6,No,Tier 3,4,0,10,10,8,10,10,2,Yes,No
5.06,9,0,0,10,9,6,9,Yes,Tier 2,4,7,8,10,3,10,6,0,Yes,Yes
6.21,7,3,2,10,10,9,6,Yes,Tier 1,2,4,9,4,3,7,10,3,Yes,Yes
9.88,8,3,3,8,6,7,2,Yes,Tier 2,3,2,8,6,3,6,7,5,Yes,Yes
9.01,8,2,0,6,5,4,8,Yes,Tier 3,1,7,4,3,5,2,2,5,No,No
9.8,2,5,3,6,8,1,9,Yes,Tier 2,5,8,9,7,1,9,6,1,Yes,Yes
7.44,9,3,0,3,4,9,5,Yes,Tier 2,4,4,10,9,10,10,6,0,Yes,Yes
5.55,6,5,3,2,9,1,6,Yes,Tier 2,0,0,10,2,8,8,5,0,Yes,Yes
7.74,4,1,2,5,5,5,4,No,Tier 2,5,5,1,3,5,9,7,0,Yes,Yes
7.27,5,4,1,9,1,7,2,Yes,Tier 3,2,4,3,2,4,2,2,3,No,Yes
9.22,10,5,3,4,8,10,5,Yes,Tier 2,5,5,3,7,10,3,6,1,Yes,Yes
5.49,5,5,0,5,9,10,5,Yes,Tier 1,2,3,6,3,3,6,8,1,Yes,Yes
7.44,7,3,2,6,5,6,1,No,Tier 2,2,6,6,10,1,6,6,4,Yes,No
5.75,9,3,0,6,5,3,5,Yes,Tier 3,3,4,7,7,9,4,4,3,Yes,Yes
6.62,7,3,3,4,6,8,1,No,Tier 2,1,6,10,2,9,5,6,3,Yes,Yes
8.69,9,2,0,4,9,7,3,No,Tier 2,0,9,10,6,2,9,5,4,Yes,Yes
7.38,4,4,0,8,5,9,9,Yes,Tier 1,5,1,7,3,5,10,2,5,No,No
6.88,10,2,3,5,2,1,4,No,Tier 2,5,2,9,9,2,1,1,5,No,No
6.97,10,2,2,5,3,8,9,Yes,Tier 1,5,0,10,4,8,5,9,4,No,Yes
7.3,4,2,2,9,10,4,6,Yes,Tier 3,2,2,6,6,1,3,2,5,Yes,Yes
8.93,6,1,3,4,3,7,1,Yes,Tier 1,4,7,2,9,9,6,8,5,No,Yes
9.46,8,4,2,7,9,7,3,Yes,Tier 1,1,4,5,8,5,2,3,1,Yes,Yes
9.78,9,1,1,5,8,4,3,Yes,Tier 2,1,8,1,10,7,5,4,0,Yes,Yes
8.93,1,1,0,9,6,8,4,Yes,Tier 2,2,0,3,4,3,9,4,4,Yes,Yes
6.58,1,4,3,8,5,1,10,Yes,Tier 3,0,4,4,5,6,5,6,0,Yes,Yes
8.44,8,1,1,8,10,5,4,Yes,Tier 1,2,1,5,3,9,4,1,3,Yes,Yes
7.19,7,4,0,10,2,4,8,No,Tier 2,0,7,8,3,9,4,5,3,No,No
6.27,9,5,3,10,9,4,3,Yes,Tier 2,2,1,4,7,10,10,5,0,Yes,Yes
9.2,3,5,2,3,10,3,4,No,Tier 2,2,8,8,3,1,10,1,0,Yes,Yes
5.19,10,3,3,9,8,1,3,No,Tier 1,2,5,8,10,2,9,3,5,Yes,Yes
9.51,5,2,3,8,5,5,7,No,Tier 2,3,9,10,10,10,9,2,3,Yes,Yes
7.31,3,5,0,3,6,8,6,No,Tier 2,2,8,7,4,5,9,10,0,Yes,Yes
8.19,5,5,0,10,9,10,1,Yes,Tier 2,1,1,9,5,5,6,8,4,Yes,Yes
8.3,10,1,0,1,1,6,10,Yes,Tier 2,4,8,9,10,8,1,3,2,No,No
9.48,1,4,1,5,4,1,1,Yes,Tier 3,5,3,7,10,5,4,9,2,No,Yes
8.18,4,0,2,4,5,5,6,Yes,Tier 1,5,2,6,9,6,10,5,1,Yes,Yes
8.07,6,1,3,8,9,6,3,Yes,Tier 2,4,3,3,6,1,2,10,0,Yes,Yes
5.33,2,1,3,6,5,9,9,No,Tier 2,2,7,1,3,6,10,1,4,No,Yes
7.59,7,4,2,10,5,9,2,Yes,Tier 2,3,6,2,3,4,10,1,0,No,Yes
5.75,8,0,3,5,3,5,3,Yes,Tier 3,2,5,5,6,10,7,8,1,Yes,Yes
8.69,1,0,0,9,8,3,9,Yes,Tier 3,2,0,9,6,10,8,10,4,Yes,Yes
7.56,4,3,3,6,7,6,6,Yes,Tier 3,0,1,9,7,1,8,8,3,Yes,Yes
8.4,4,1,2,3,8,8,1,Yes,Tier 2,5,9,7,9,4,9,9,3,Yes,Yes
5.21,5,2,1,6,4,5,2,Yes,Tier 2,5,1,6,3,10,9,5,5,No,Yes
5.42,4,5,1,4,8,8,7,No,Tier 2,1,7,10,6,1,4,9,2,Yes,Yes
8.58,9,1,2,5,10,1,6,No,Tier 1,5,4,10,10,8,9,10,4,Yes,Yes
5.36,7,2,3,6,4,8,1,Yes,Tier 3,0,4,7,9,9,4,7,3,Yes,Yes
5.36,2,2,3,9,1,2,10,No,Tier 1,5,5,6,10,6,6,10,0,No,No
5.06,1,4,1,3,4,7,2,No,Tier 3,4,2,5,1,5,8,5,4,Yes,Yes
9.78,9,1,3,1,5,2,6,Yes,Tier 1,5,1,6,6,9,4,4,3,No,Yes
8.69,1,4,1,2,10,3,6,No,Tier 2,3,2,1,6,5,7,5,1,Yes,Yes
6.77,6,3,2,8,8,5,6,No,Tier 2,0,4,5,8,5,5,6,5,Yes,Yes
6.48,2,2,2,4,10,10,9,Yes,Tier 2,1,9,1,5,1,8,3,2,Yes,Yes
6.75,4,0,3,7,6,7,2,Yes,Tier 1,1,8,5,3,7,7,5,0,Yes,No
8.87,6,2,0,2,10,9,10,Yes,Tier 1,1,4,2,3,1,10,5,0,No,Yes
8.31,5,3,0,10,5,5,10,Yes,Tier 3,4,5,10,5,3,8,7,4,No,Yes
5.93,6,2,1,8,3,1,9,No,Tier 3,0,9,5,8,3,8,3,4,Yes,Yes
5.87,3,4,2,10,4,3,9,No,Tier 2,1,2,10,8,2,8,4,0,Yes,Yes
5.49,5,1,1,9,6,5,10,No,Tier 1,4,4,4,8,6,7,8,5,Yes,No
8.3,2,0,2,7,6,3,9,Yes,Tier 2,3,3,4,5,10,4,7,5,Yes,No
8.82,7,4,1,10,6,8,9,No,Tier 2,2,6,6,3,3,7,10,3,No,Yes
6.33,3,5,1,1,2,8,3,Yes,Tier 1,3,7,10,5,7,4,10,1,No,Yes
5.1,1,1,1,2,8,1,10,Yes,Tier 2,0,0,8,2,4,10,2,4,Yes,No
5.41,8,0,3,9,8,8,9,Yes,Tier 2,3,2,6,4,3,4,3,5,No,Yes
9.84,8,3,0,10,6,4,10,Yes,Tier 3,5,8,1,4,3,7,6,2,No,No
6.48,3,2,2,7,4,6,9,Yes,Tier 2,4,0,9,7,4,7,5,5,Yes,Yes
8.85,7,0,1,3,2,10,3,Yes,Tier 3,0,7,4,10,4,3,5,1,Yes,Yes
8.12,9,5,0,5,6,8,4,Yes,Tier 2,1,1,7,8,7,1,9,5,Yes,Yes
6.91,8,3,1,1,6,2,4,No,Tier 2,4,9,1,8,7,9,8,1,Yes,Yes
6.03,3,1,1,10,10,8,4,Yes,Tier 2,5,9,9,5,10,1,10,2,No,Yes
5.61,2,0,2,3,3,7,7,Yes,Tier 1,0,4,3,9,8,6,4,4,Yes,Yes
8.08,10,3,3,4,2,4,5,Yes,Tier 2,5,2,3,8,4,2,6,0,No,No
8.87,7,1,1,4,4,5,7,Yes,Tier 2,5,6,10,3,1,6,6,0,Yes,Yes
8.22,7,4,2,7,8,6,6,Yes,Tier 1,0,1,8,9,3,1,10,5,Yes,Yes
7.65,9,2,3,5,5,3,7,Yes,Tier 1,4,7,2,8,1,2,2,1,Yes,Yes
5.21,5,3,3,9,3,2,8,Yes,Tier 1,3,0,9,10,10,10,1,1,Yes,Yes
9.84,4,4,0,7,5,2,6,Yes,Tier 2,3,5,3,3,8,5,1,1,Yes,No
8.99,8,5,0,2,9,4,9,Yes,Tier 3,1,2,2,2,9,1,5,1,Yes,Yes
6.46,4,5,1,8,8,7,4,Yes,Tier 1,5,0,5,2,2,2,4,2,No,No
9.9,4,1,0,2,10,1,5,No,Tier 2,0,9,9,8,2,4,1,5,No,Yes
8.01,2,0,2,7,7,1,9,No,Tier 2,3,0,9,9,8,10,3,4,Yes,Yes
7.91,1,2,2,5,4,4,9,No,Tier 2,0,2,8,8,6,7,10,0,Yes,Yes
8.74,4,1,0,10,2,9,2,Yes,Tier 1,3,5,8,8,2,9,8,0,Yes,Yes
9.06,7,3,2,6,9,5,2,Yes,Tier 2,4,6,7,4,10,4,4,2,Yes,Yes
8.28,9,2,2,4,3,1,9,Yes,Tier 2,5,3,3,5,5,1,5,3,Yes,Yes
5.64,9,4,1,5,6,3,6,No,Tier 3,4,2,3,3,6,2,5,5,Yes,No
6.69,10,2,1,5,7,6,8,No,Tier 1,3,2,5,8,6,1,2,5,No,Yes
9.64,1,4,2,7,3,3,8,Yes,Tier 3,4,3,9,3,10,10,3,0,Yes,Yes
6.12,5,1,0,4,3,6,8,No,Tier 2,5,2,1,7,7,10,2,2,Yes,Yes
6.86,7,0,2,5,3,6,5,Yes,Tier 3,0,3,3,6,4,7,1,1,Yes,No
7.16,7,5,3,4,3,5,10,No,Tier 3,5,5,9,6,3,10,8,0,No,No
7.2,10,2,3,4,3,10,4,No,Tier 2,4,8,7,1,3,1,6,3,No,No
8.06,6,0,3,8,7,5,3,No,Tier 3,1,9,2,8,4,9,10,2,No,Yes
9.72,10,0,1,5,5,9,4,Yes,Tier 1,3,9,2,9,1,7,2,2,Yes,Yes
6.2,4,5,0,9,4,3,8,Yes,Tier 1,1,6,1,4,10,10,9,0,Yes,Yes
5.61,3,2,2,5,6,10,4,Yes,Tier 1,5,6,10,4,1,10,8,1,Yes,Yes
5.99,9,2,0,8,8,7,8,Yes,Tier 3,4,6,3,8,7,4,7,4,Yes,Yes
9.43,10,0,0,3,2,4,8,No,Tier 2,3,4,4,6,2,4,7,5,Yes,Yes
8.23,4,3,0,7,3,2,1,Yes,Tier 3,3,6,1,8,6,2,10,0,No,Yes
6.43,8,3,3,1,2,10,9,Yes,Tier 2,0,7,1,7,6,8,2,0,No,Yes
9.08,1,2,2,5,7,3,3,Yes,Tier 2,0,6,3,8,3,6,6,3,Yes,Yes
9.31,7,0,1,2,2,3,6,No,Tier 3,4,2,5,4,5,2,10,4,Yes,Yes
9.23,6,0,0,8,5,3,3,Yes,Tier 2,0,9,8,2,6,6,4,1,Yes,Yes
9.59,1,1,0,6,10,3,9,No,Tier 3,0,8,5,1,10,6,4,2,No,No
6.26,4,0,3,5,9,10,1,Yes,Tier 2,1,9,7,5,6,8,8,2,Yes,Yes
8.78,5,5,3,3,8,6,7,Yes,Tier 1,1,5,9,10,4,9,8,5,Yes,Yes
7.3,8,3,2,1,8,6,5,No,Tier 3,1,7,1,10,2,8,7,2,No,Yes
9.21,4,1,1,10,3,9,3,Yes,Tier 2,4,5,5,9,2,5,10,0,Yes,Yes
8.64,3,5,1,10,1,8,7,Yes,Tier 2,5,3,2,8,4,9,2,3,No,Yes
8.88,2,3,3,10,2,10,1,No,Tier 2,5,0,1,7,5,4,6,4,Yes,No
8.28,4,5,2,10,7,7,6,No,Tier 2,5,6,7,1,2,6,9,5,Yes,Yes
5.89,10,4,0,8,4,2,7,No,Tier 2,3,7,7,10,8,3,9,4,Yes,No
7.73,4,2,2,5,10,10,9,No,Tier 3,2,3,1,4,10,10,7,5,No,No
9.92,10,4,1,9,5,2,9,Yes,Tier 1,4,8,10,2,5,9,2,0,Yes,Yes
9.69,5,2,3,7,1,1,7,No,Tier 3,3,7,7,9,7,9,8,1,No,Yes
5.22,7,3,0,1,2,7,5,Yes,Tier 1,0,9,6,10,6,6,8,1,Yes,Yes
5.82,9,3,0,1,9,7,7,No,Tier 2,4,1,6,3,6,7,9,5,No,Yes
5.66,2,4,1,7,6,1,1,Yes,Tier 1,3,9,1,9,3,8,9,4,No,Yes
8.63,5,5,0,7,7,6,7,Yes,Tier 2,4,7,10,5,10,4,3,4,Yes,Yes
9.09,10,2,2,9,5,7,10,Yes,Tier 2,0,3,7,2,3,1,6,0,Yes,Yes
6.07,9,2,1,2,9,1,4,Yes,Tier 2,0,9,1,10,2,9,3,5,Yes,Yes
7.53,3,1,1,7,10,6,2,Yes,Tier 1,4,8,10,4,1,3,2,4,Yes,Yes
9.2,1,0,0,2,5,10,6,No,Tier 2,5,2,10,6,7,5,1,3,Yes,No
8.66,2,5,1,10,6,9,7,Yes,Tier 2,4,2,5,8,10,3,4,1,Yes,Yes
7.71,6,5,3,10,10,1,7,Yes,Tier 3,2,6,1,3,10,4,2,3,Yes,Yes
7.95,5,1,2,2,9,2,8,No,Tier 2,1,7,1,9,4,9,5,0,Yes,No
7.54,1,3,1,5,5,2,5,No,Tier 2,3,5,8,4,6,10,6,5,No,No
6.49,1,4,3,9,4,10,10,Yes,Tier 3,5,5,5,10,5,2,8,2,Yes,Yes
7.83,4,5,0,9,5,3,10,Yes,Tier 3,0,9,5,7,10,2,10,0,Yes,No
8.44,4,2,1,10,5,4,8,Yes,Tier 1,0,7,3,3,7,3,6,0,Yes,Yes
9.37,6,1,3,1,5,7,4,Yes,Tier 2,3,9,2,10,3,4,9,2,Yes,Yes
8.18,6,4,0,7,1,3,10,Yes,Tier 2,5,9,10,2,10,2,4,4,No,No
8.81,10,4,3,10,5,7,1,Yes,Tier 2,4,1,4,9,3,9,4,2,No,Yes
5.8,6,5,0,10,5,5,8,No,Tier 2,2,4,1,9,1,5,4,5,No,Yes
7.31,1,0,2,3,1,5,4,Yes,Tier 1,5,1,7,6,4,3,10,4,No,Yes
5.05,10,2,1,10,4,7,5,Yes,Tier 2,3,2,8,4,8,4,7,1,Yes,Yes
6.23,9,4,2,10,8,7,4,Yes,Tier 2,4,6,2,2,8,2,10,3,Yes,Yes
8.63,7,2,2,1,4,7,7,Yes,Tier 2,0,0,1,7,7,10,10,1,No,Yes
9.96,7,5,1,2,7,9,10,No,Tier 2,4,3,7,4,7,1,4,1,Yes,Yes
5.5,7,1,2,6,6,1,3,No,Tier 2,1,6,6,3,5,5,4,1,Yes,Yes
7.01,2,4,2,10,5,1,2,Yes,Tier 2,2,4,5,10,2,6,4,1,Yes,Yes
9.0,2,5,3,2,9,3,10,Yes,Tier 2,1,4,6,2,1,2,7,1,Yes,No
6.02,6,4,0,2,8,6,2,No,Tier 2,1,2,6,2,3,10,10,5,No,Yes
7.78,7,1,2,4,5,2,7,Yes,Tier 2,4,7,9,10,6,2,10,2,Yes,Yes
8.67,3,2,1,3,10,9,10,No,Tier 1,4,2,4,7,9,6,7,1,No,Yes
8.08,4,2,3,8,7,1,6,No,Tier 3,5,6,1,8,5,10,8,1,Yes,Yes
5.94,3,4,0,8,9,5,2,Yes,Tier 2,5,0,4,10,10,10,7,0,Yes,Yes
6.78,7,5,2,6,7,7,8,No,Tier 1,3,2,8,4,7,6,6,5,No,Yes
8.92,7,1,2,4,3,10,6,Yes,Tier 1,5,0,10,8,9,1,2,0,Yes,Yes
7.77,4,3,1,7,10,3,8,No,Tier 1,0,3,4,3,8,7,9,0,No,Yes
5.03,7,2,2,9,5,2,6,No,Tier 2,2,2,5,10,3,3,8,1,Yes,Yes
8.8,5,3,1,2,9,3,4,No,Tier 2,1,8,3,7,7,5,6,1,Yes,Yes
5.18,1,4,2,6,9,7,8,Yes,Tier 2,4,1,6,8,2,8,8,2,No,Yes
8.73,10,3,2,7,8,1,4,No,Tier 2,0,4,9,10,6,6,5,1,Yes,Yes
6.01,4,5,1,1,6,8,6,Yes,Tier 2,3,9,5,5,1,8,4,4,Yes,Yes
9.79,7,5,0,6,7,3,5,No,Tier 2,4,2,2,10,4,1,4,0,Yes,No
6.84,2,3,3,8,7,5,4,Yes,Tier 1,3,2,3,6,3,8,1,5,Yes,Yes
6.63,2,5,1,7,1,10,7,Yes,Tier 3,5,4,3,3,9,3,7,3,Yes,Yes
5.74,1,2,0,2,8,5,8,Yes,Tier 1,5,1,4,4,7,8,10,0,Yes,Yes
6.53,2,4,0,2,6,6,6,No,Tier 2,5,4,3,3,2,9,7,5,Yes,Yes
9.38,10,3,1,4,7,7,1,Yes,Tier 1,4,2,1,1,5,3,5,5,Yes,Yes
9.98,8,2,3,5,10,1,7,Yes,Tier 3,5,1,9,2,7,4,10,2,Yes,Yes
6.84,8,3,1,5,10,6,4,Yes,Tier 2,2,4,7,10,8,4,5,2,Yes,Yes
7.24,8,2,2,2,2,2,2,No,Tier 1,1,2,4,7,4,2,3,5,Yes,Yes
8.61,1,5,2,7,7,10,3,Yes,Tier 2,3,7,9,10,5,9,5,1,Yes,Yes
9.43,1,5,0,8,8,3,10,Yes,Tier 2,3,1,2,3,6,9,6,4,Yes,No
7.97,10,4,2,2,5,5,4,Yes,Tier 1,3,6,9,1,10,10,1,1,No,No
6.96,4,5,3,4,1,1,7,Yes,Tier 1,4,7,9,5,8,7,4,0,No,No
7.06,6,1,1,3,6,7,9,Yes,Tier 2,3,6,2,1,2,7,9,3,Yes,Yes
8.48,8,2,3,4,3,1,10,Yes,Tier 3,4,1,7,1,8,10,10,1,No,Yes
5.02,2,2,0,5,5,8,6,Yes,Tier 1,4,8,4,6,3,8,2,2,No,Yes
8.1,3,3,2,6,9,6,10,No,Tier 2,5,9,5,9,8,3,7,3,Yes,Yes
6.78,6,4,2,2,7,1,5,No,Tier 3,2,5,5,1,10,2,8,1,Yes,Yes
8.97,10,0,1,10,8,7,9,Yes,Tier 2,5,8,9,7,10,4,4,3,Yes,Yes
5.46,4,5,3,6,6,10,8,No,Tier 1,4,2,6,2,5,1,7,2,Yes,Yes
7.94,2,0,3,9,9,3,8,Yes,Tier 2,5,8,1,10,5,7,5,2,No,Yes
7.4,7,1,1,8,3,7,8,No,Tier 3,0,2,5,8,7,8,1,1,Yes,Yes
8.21,4,4,2,1,1,8,8,Yes,Tier 2,3,2,1,7,6,6,10,1,Yes,Yes
5.32,8,2,0,9,10,10,8,No,Tier 3,1,7,7,2,4,10,5,5,No,No
7.9,8,0,0,10,4,3,10,No,Tier 1,3,5,3,9,2,1,10,1,No,No
7.81,7,1,1,2,8,5,10,Yes,Tier 2,0,0,2,7,10,7,8,1,Yes,No
7.8,10,4,1,1,6,10,7,Yes,Tier 1,5,1,7,2,3,10,4,0,Yes,No
8.02,9,1,1,6,7,2,2,Yes,Tier 2,4,9,9,2,1,2,3,4,Yes,No
8.38,4,5,3,1,9,2,2,No,Tier 2,5,7,5,5,2,3,8,1,Yes,Yes
9.02,7,0,2,6,2,1,5,No,Tier 1,2,6,4,5,10,5,2,2,Yes,Yes
6.35,10,3,2,2,7,3,6,Yes,Tier 2,4,7,10,9,1,6,2,1,Yes,Yes
9.13,10,3,1,7,4,4,9,No,Tier 2,2,7,5,1,8,10,6,0,Yes,Yes
7.49,1,4,0,7,7,3,1,Yes,Tier 3,1,5,7,5,1,10,5,0,Yes,No
5.39,4,1,3,4,8,8,7,No,Tier 3,3,6,4,3,1,6,3,2,No,No
5.29,2,2,1,2,2,1,7,No,Tier 3,4,5,9,3,10,7,3,2,Yes,No
6.67,9,0,3,7,7,5,8,Yes,Tier 3,2,0,6,5,5,6,5,3,No,Yes
8.92,5,3,1,1,8,7,1,Yes,Tier 2,2,4,3,2,2,8,10,5,Yes,No
8.54,3,3,3,2,1,9,10,No,Tier 3,0,9,2,4,6,9,9,1,Yes,Yes
8.94,4,1,0,2,10,1,4,No,Tier 2,0,0,4,4,9,7,7,0,Yes,Yes
7.59,6,3,0,1,5,9,10,No,Tier 2,3,1,9,4,2,7,6,3,No,Yes
7.2,10,1,0,9,9,9,5,No,Tier 1,2,4,2,2,10,3,4,1,No,Yes
5.74,1,0,0,6,2,4,2,No,Tier 1,1,1,3,3,8,2,3,5,Yes,No
6.64,7,1,2,3,6,10,2,Yes,Tier 1,2,3,3,3,3,7,10,2,Yes,Yes
7.17,8,3,2,6,2,5,4,No,Tier 1,2,2,5,8,3,10,7,4,Yes,Yes
5.44,7,1,3,7,3,6,3,Yes,Tier 2,4,8,5,8,8,7,8,4,Yes,No
6.1,7,3,1,3,6,4,7,Yes,Tier 2,4,9,10,1,3,4,4,3,Yes,Yes
